isales,st,st2
0.27,0.27,0.0729
1.119,1.389,1.929321
2.315,3.704,13.719616
1.703,5.407,29.235649
0.717,6.124,37.503376
6.892,13.016,169.416256
4.363,17.379,302.029641
3.793,21.172,448.253584
5.208,26.38,695.9044
7.367,33.747,1138.860009
8.737,42.484,1804.890256
8.752,51.236,2625.127696
8.398,59.634,3556.213956
14.102,73.736,5436.997696
16.235,89.971,8094.780841
18.647,108.618,11797.86992
20.338,128.956,16629.64994
17.073,146.029,21324.46884
37.044,183.073,33515.72333
35.064,218.137,47583.75077
26.028,244.165,59616.54723
26.91,271.075,73481.65563
47.789,318.864,101674.2505
37.43,356.294,126945.4144
31.241,387.535,150183.3762
33.797,421.332,177520.6542
51.025,472.357,223121.1354
43.719,516.076,266334.4378
35.203,551.279,303908.5358
39.272,590.551,348750.4836
74.468,665.019,442250.2704
61.17,726.189,527350.4637
47.534,773.723,598647.2807
48.05,821.773,675310.8635
74.78,896.553,803807.2818
51.2,947.753,898235.749
40.399,988.152,976444.3751
45.513,1033.665,1068463.332
78.29,1111.955,1236443.922
50.763,1162.718,1351913.148
41.026,1203.744,1448999.618
46.677,1250.421,1563552.677
77.316,1327.737,1762885.541
52.217,1379.954,1904273.042
